[ 2017-03-14T14:15:17+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-03-14T14:15:21+08:00 ] 127.0.0.1 /Index/index
[ 2017-03-14T14:15:21+08:00 ] /Index/index | INFO: Tag[ route_check ] --START--
[ 2017-03-14T14:15:21+08:00 ] /Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000385s ]
[ 2017-03-14T14:15:21+08:00 ] /Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000441s ]
[ 2017-03-14T14:15:21+08:00 ] /Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-03-14T14:15:21+08:00 ] /Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-03-14T14:15:21+08:00 ] /Index/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-14T14:15:21+08:00 ] /Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000277s ]
[ 2017-03-14T14:15:21+08:00 ] /Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000300s ]
[ 2017-03-14T14:15:21+08:00 ] /Index/index | NOTIC: [2] copy(/tmp/upload_20170313154440.jpg): failed to open stream: No such file or directory IndexAction.class.php 第 15 行.
[ 2017-03-14T14:15:21+08:00 ] /Index/index | INFO: Tag[ view_template ] --START--
[ 2017-03-14T14:15:21+08:00 ] /Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000532s ]
[ 2017-03-14T14:15:21+08:00 ] /Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000562s ]
[ 2017-03-14T14:15:21+08:00 ] /Index/index | INFO: Tag[ view_parse ] --START--
[ 2017-03-14T14:15:21+08:00 ] /Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-03-14T14:15:21+08:00 ] /Index/index | NOTIC: [2] file_get_contents(E:\project\www.dhgj.com\www/Tpl/theme_2015/Public/pageHeader.php): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
