[ 2017-04-25T17:02:09+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-04-25T17:02:39+08:00 ] 127.0.0.1 /media/news/id/20
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | INFO: Tag[ route_check ] --START--
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | INFO: Run CheckRoute Behavior [ RunTime:0.000444s ]
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000515s ]
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | INFO: Tag[ app_begin ] --START--
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000287s ]
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000313s ]
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | INFO: Tag[ view_template ] --START--
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | INFO: Run LocationTemplate Behavior [ RunTime:0.000514s ]
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000551s ]
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | INFO: Tag[ view_parse ] --START--
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-25T17:02:39+08:00 ] /media/news/id/20 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
