[ 2017-05-12T11:16:56+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-05-12T11:16:57+08:00 ] 127.0.0.1 /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | INFO: Tag[ route_check ] --START--
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | INFO: Run CheckRoute Behavior [ RunTime:0.000441s ]
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000503s ]
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | INFO: Tag[ app_begin ] --START--
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000403s ]
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000438s ]
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8] Undefined index: _cmd_ TextAction.class.php 第 44 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | INFO: Tag[ view_template ] --START--
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | INFO: Run LocationTemplate Behavior [ RunTime:0.000605s ]
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000663s ]
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | INFO: Tag[ view_parse ] --START--
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-12T11:16:57+08:00 ] /text/index1?PHPSESSID=rcdoblk7rkfjui2pqpc056hgs5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
