[ 2017-05-08T13:05:02+08:00 ] 127.0.0.1 /member/reset
[ 2017-05-08T13:05:02+08:00 ] /member/reset | INFO: Tag[ route_check ] --START--
[ 2017-05-08T13:05:02+08:00 ] /member/reset | INFO: Run CheckRoute Behavior [ RunTime:0.000371s ]
[ 2017-05-08T13:05:02+08:00 ] /member/reset | INFO: Tag[ route_check ] --END-- [ RunTime:0.000425s ]
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | INFO: Tag[ app_begin ] --START--
[ 2017-05-08T13:05:02+08:00 ] /member/reset | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000238s ]
[ 2017-05-08T13:05:02+08:00 ] /member/reset | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000260s ]
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8] Undefined index: _reset_mobile_ functions.php 第 445 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | INFO: Tag[ view_template ] --START--
[ 2017-05-08T13:05:02+08:00 ] /member/reset | INFO: Run LocationTemplate Behavior [ RunTime:0.000377s ]
[ 2017-05-08T13:05:02+08:00 ] /member/reset | INFO: Tag[ view_template ] --END-- [ RunTime:0.000414s ]
[ 2017-05-08T13:05:02+08:00 ] /member/reset | INFO: Tag[ view_parse ] --START--
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:05:02+08:00 ] /member/reset | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
