[ 2017-03-14T09:16:13+08:00 ] 127.0.0.1 /index/index
[ 2017-03-14T09:16:13+08:00 ] /index/index | INFO: Tag[ route_check ] --START--
[ 2017-03-14T09:16:13+08:00 ] /index/index | INFO: Run CheckRoute Behavior [ RunTime:0.012184s ]
[ 2017-03-14T09:16:13+08:00 ] /index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.012365s ]
[ 2017-03-14T09:16:13+08:00 ] /index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-03-14T09:16:13+08:00 ] /index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-03-14T09:16:13+08:00 ] /index/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-14T09:16:13+08:00 ] /index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.012641s ]
[ 2017-03-14T09:16:13+08:00 ] /index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012684s ]

[ 2017-03-14T09:16:13+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-03-14T10:15:37+08:00 ] 127.0.0.1 /index/index
[ 2017-03-14T10:15:36+08:00 ] /index/index | INFO: Tag[ route_check ] --START--
[ 2017-03-14T10:15:36+08:00 ] /index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000391s ]
[ 2017-03-14T10:15:36+08:00 ] /index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000447s ]
[ 2017-03-14T10:15:36+08:00 ] /index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-03-14T10:15:36+08:00 ] /index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-03-14T10:15:36+08:00 ] /index/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-14T10:15:36+08:00 ] /index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000274s ]
[ 2017-03-14T10:15:36+08:00 ] /index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000297s ]
[ 2017-03-14T10:15:36+08:00 ] /index/index | NOTIC: [8] Undefined index: _deviceid_ functions.php 第 445 行.
[ 2017-03-14T10:15:37+08:00 ] /index/index | INFO: Tag[ view_template ] --START--
[ 2017-03-14T10:15:37+08:00 ] /index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.022459s ]
[ 2017-03-14T10:15:37+08:00 ] /index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.022548s ]
[ 2017-03-14T10:15:37+08:00 ] /index/index | INFO: Tag[ view_parse ] --START--
