[ 2017-05-04T09:21:02+08:00 ] 127.0.0.1 /index/isNewOrder.html
[ 2017-05-04T09:21:02+08:00 ] /index/isNewOrder.html | INFO: Tag[ route_check ] --START--
[ 2017-05-04T09:21:02+08:00 ] /index/isNewOrder.html | INFO: Run CheckRoute Behavior [ RunTime:0.000360s ]
[ 2017-05-04T09:21:02+08:00 ] /index/isNewOrder.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000438s ]
[ 2017-05-04T09:21:02+08:00 ] /index/isNewOrder.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-04T09:21:02+08:00 ] /index/isNewOrder.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-04T09:21:02+08:00 ] /index/isNewOrder.html | INFO: Tag[ app_begin ] --START--
[ 2017-05-04T09:21:02+08:00 ] /index/isNewOrder.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000264s ]
[ 2017-05-04T09:21:02+08:00 ] /index/isNewOrder.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000287s ]
[ 2017-05-04T09:21:02+08:00 ] /index/isNewOrder.html | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\CommonAction.class.php on line 134 and defined Action.class.php 第 305 行.
[ 2017-05-04T09:21:02+08:00 ] /index/isNewOrder.html | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-05-04T09:21:02+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-05-04T09:21:12+08:00 ] 127.0.0.1 /index/isNewOrder.html
[ 2017-05-04T09:21:12+08:00 ] /index/isNewOrder.html | INFO: Tag[ route_check ] --START--
[ 2017-05-04T09:21:12+08:00 ] /index/isNewOrder.html | INFO: Run CheckRoute Behavior [ RunTime:0.000329s ]
[ 2017-05-04T09:21:12+08:00 ] /index/isNewOrder.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000385s ]
[ 2017-05-04T09:21:12+08:00 ] /index/isNewOrder.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-04T09:21:12+08:00 ] /index/isNewOrder.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-04T09:21:12+08:00 ] /index/isNewOrder.html | INFO: Tag[ app_begin ] --START--
[ 2017-05-04T09:21:12+08:00 ] /index/isNewOrder.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000253s ]
[ 2017-05-04T09:21:12+08:00 ] /index/isNewOrder.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000280s ]
[ 2017-05-04T09:21:12+08:00 ] /index/isNewOrder.html | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\CommonAction.class.php on line 134 and defined Action.class.php 第 305 行.
[ 2017-05-04T09:21:12+08:00 ] /index/isNewOrder.html | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-05-04T09:21:22+08:00 ] 127.0.0.1 /index/isNewOrder.html
[ 2017-05-04T09:21:22+08:00 ] /index/isNewOrder.html | INFO: Tag[ route_check ] --START--
[ 2017-05-04T09:21:22+08:00 ] /index/isNewOrder.html | INFO: Run CheckRoute Behavior [ RunTime:0.001212s ]
[ 2017-05-04T09:21:22+08:00 ] /index/isNewOrder.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001418s ]
[ 2017-05-04T09:21:22+08:00 ] /index/isNewOrder.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-04T09:21:22+08:00 ] /index/isNewOrder.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-04T09:21:22+08:00 ] /index/isNewOrder.html | INFO: Tag[ app_begin ] --START--
[ 2017-05-04T09:21:22+08:00 ] /index/isNewOrder.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000936s ]
[ 2017-05-04T09:21:22+08:00 ] /index/isNewOrder.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001031s ]
