[ 2017-05-04T13:21:13+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-05-04T13:21:19+08:00 ] 127.0.0.1 /order/order_info/oid/1
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | INFO: Tag[ route_check ] --START--
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000710s ]
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000796s ]
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | INFO: Tag[ app_begin ] --START--
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000590s ]
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000629s ]
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [2] Illegal string offset 'sex' OrderAction.class.php 第 200 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8] Uninitialized string offset: 0 OrderAction.class.php 第 200 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [2] Invalid argument supplied for foreach() OrderAction.class.php 第 201 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | INFO: Tag[ view_template ] --START--
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000844s ]
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000890s ]
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | INFO: Tag[ view_parse ] --START--
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T13:21:19+08:00 ] /order/order_info/oid/1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
