[ 2017-04-01T09:03:33+08:00 ] 127.0.0.1 /Text/index
[ 2017-04-01T09:03:33+08:00 ] /Text/index | INFO: Tag[ route_check ] --START--
[ 2017-04-01T09:03:33+08:00 ] /Text/index | INFO: Run CheckRoute Behavior [ RunTime:0.014084s ]
[ 2017-04-01T09:03:33+08:00 ] /Text/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.016957s ]
[ 2017-04-01T09:03:33+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-01T09:03:33+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-01T09:03:33+08:00 ] /Text/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-01T09:03:33+08:00 ] /Text/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.012366s ]
[ 2017-04-01T09:03:33+08:00 ] /Text/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012414s ]
[ 2017-04-01T09:03:33+08:00 ] /Text/index | NOTIC: [8] Use of undefined constant _STATIC_ - assumed '_STATIC_' TextAction.class.php 第 11 行.
[ 2017-04-01T09:03:33+08:00 ] /Text/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-04-01T09:03:33+08:00 ] /Text/index | SQL: SHOW COLUMNS FROM `order` [ RunTime:0.006922s ]
[ 2017-04-01T09:03:33+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:03:33+08:00 ] /Text/index | SQL: SELECT *,case when status=1 then '待审核' when status=2 then '待修改' when status=3 then '已分发' when status=4 then '已完成' when status=5 then '订单无效' when status=6 then '订单已删除' end as status_name FROM `order` WHERE id='1' LIMIT 1   [ RunTime:0.006561s ]
[ 2017-04-01T09:03:33+08:00 ] /Text/index | SQL: SHOW COLUMNS FROM `order_pic` [ RunTime:0.005710s ]
[ 2017-04-01T09:03:33+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-04-01T09:03:33+08:00 ] /Text/index | SQL: SELECT `user_pic`,`certi_pic`,`loanContract_pic`,`mortContract_pic`,`travelLicense_pic`,`driveLicense_pic`,`carRegistration_pic` FROM `order_pic` WHERE order_id=1 LIMIT 1   [ RunTime:0.005293s ]
[ 2017-04-01T09:03:33+08:00 ] /Text/index | NOTIC: [8] Undefined variable: arr TextAction.class.php 第 22 行.
[ 2017-04-01T09:03:33+08:00 ] /Text/index | NOTIC: [8] Undefined index: _deviceid_ functions.php 第 445 行.
[ 2017-04-01T09:03:33+08:00 ] /Text/index | INFO: Tag[ view_template ] --START--
[ 2017-04-01T09:03:33+08:00 ] /Text/index | INFO: Run LocationTemplate Behavior [ RunTime:0.013547s ]
