[ 2017-04-10T15:16:41+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-04-10T15:17:58+08:00 ] 127.0.0.1 /Text/myOrderList
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | INFO: Tag[ route_check ] --START--
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | INFO: Run CheckRoute Behavior [ RunTime:0.001308s ]
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | INFO: Tag[ route_check ] --END-- [ RunTime:0.001502s ]
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000871s ]
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000941s ]
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | NOTIC: [8] Undefined index: page TextAction.class.php 第 37 行.
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | INFO: Tag[ view_template ] --START--
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | INFO: Run LocationTemplate Behavior [ RunTime:0.000592s ]
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | INFO: Tag[ view_template ] --END-- [ RunTime:0.000636s ]
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | INFO: Tag[ view_parse ] --START--
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T15:17:58+08:00 ] /Text/myOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
